suggerisco suggerisci suggerisce suggeriamo suggerite suggeriscono 
sento senti sente sentiamo sentite sentono 
urlo urli urla urliamo urlate urlano 
sono sei è siamo siete sono 
giro giri gira giriamo girate girano 
visto visti vista vistiamo vistate vistano 
spaparanzo spaparanzi spaparanza spaparanziamo spaparanzate spaparanzano 
copro copri copre copriamo coprite coprono 
devo devi deve dobbiamo dovete debbono 
pacchio pacchi pacchia pacchiamo pacchiate pacchiano 
sono sei è siamo siete sono 
prendo prendi prende prendiamo prendete prendono 
fiato fiati fiata fiatiamo fiatate fiatano 
rispondo rispondi risponde rispondiamo rispondete rispondono 
sofferisco sofferisci sofferisce sofferiamo sofferite sofferiscono 
sono sei è siamo siete sono 
vengo vieni viene veniamo venite vengono 
sono sei è siamo siete sono 
finto finti finta fintiamo fintate fintano 
sono sei è siamo siete sono 
stanco stanchi stanca stanchiamo stancate stancano 
sono sei è siamo siete sono 
detto detti detta dettiamo dettate dettano 
loro lori lora loriamo lorate lorano 
grano grani grana graniamo granate granano 
piano piani piana pianiamo pianate pianano 
como comi come comiamo comete comono 
verso versi versa versiamo versate versano 
cimo cimi cima cimiamo cimate cimano 
grano grani grana graniamo granate granano 
sono sei è siamo siete sono 
— — piove — — piovono 
pio pi pia piamo piate piano 
sono sei è siamo siete sono 
esprobro esprobri esprobra esprobriamo esprobrate esprobrano 
coso cosi cosa cosiamo cosate cosano 
sono sei è siamo siete sono 
coperto coperti coperta copertiamo copertate copertano 
grano grani grana graniamo granate granano 
susseguo sussegui sussegue susseguiamo susseguite susseguono 
como comi come comiamo comete comono 
oceano oceani oceana oceaniamo oceanate oceanano 
doro dori dora doriamo dorate dorano 
fondo fondi fonda fondiamo fondate fondano 
grano grani grana graniamo granate granano 
grillo grilli grilla grilliamo grillate grillano 
ideo idei idea ideiamo ideate ideano 
faccio fai fa faciamo facete facciono 
digrado digradi digrada digradiamo digradate digradano 
intendo intendi intende intendiamo intendete intendono 
so sai sa sappiamo sapete sanno 
sono sei è siamo siete sono 
entro entri entra entriamo entrate entrano 
brucio bruci brucia bruciamo bruciate bruciano 
pio pi pia piamo piate piano 
uccido uccidi uccide uccidiamo uccidete uccidono 
prendo prendi prende prendiamo prendete prendono 
levo levi leva leviamo levate levano 
respiro respiri respira respiriamo respirate respirano 
forzo forzi forza forziamo forzate forzano 
voglio vuoi vuole vogliamo volete vogliono 
giambo giambi giamba giambiamo giambate giambano 
schiatto schiatti schiatta schiattiamo schiattate schiattano 
esco esci esce usciamo uscite escono 
sono sei è siamo siete sono 
tappo tappi tappa tappiamo tappate tappano 
chiudo chiudi chiude chiudiamo chiudete chiudono 
noio noi noia noiamo noiate noiano 
avventuro avventuri avventura avventuriamo avventurate avventurano 
seguo segui segue seguiamo seguite seguono 
tiro tiri tira tiriamo tirate tirano 
dò dai da diamo date danno 
falseggio falseggi falseggia falseggiamo falseggiate falseggiano 
faccio fai fa faciamo facete facciono 
dico dici dice diciamo dicete dicono 
dò dai da diamo date danno 
sono sei è siamo siete sono 
tocco tocchi tocca tocchiamo toccate toccano 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
vieto vieti vieta vietiamo vietate vietano 
stampello stampelli stampella stampelliamo stampellate stampellano 
vieto vieti vieta vietiamo vietate vietano 
arrivo arrivi arriva arriviamo arrivate arrivano 
ultimo ultimi ultima ultimiamo ultimate ultimano 
pago paghi paga paghiamo pagate pagano 
decido decidi decide decidiamo decidete decidono 
gareggio gareggi gareggia gareggiamo gareggiate gareggiano 
sono sei è siamo siete sono 
protesto protesti protesta protestiamo protestate protestano 
falseggio falseggi falseggia falseggiamo falseggiate falseggiano 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
terzo terzi terza terziamo terzate terzano 
sono sei è siamo siete sono 
detto detti detta dettiamo dettate dettano 
chiamo chiami chiama chiamiamo chiamate chiamano 
ricordo ricordi ricorda ricordiamo ricordate ricordano 
volto volti volta voltiamo voltate voltano 
sono sei è siamo siete sono 
appiccico appiccichi appiccica appiccichiamo appiccicate appiccicano 
compro compri compra compriamo comprate comprano 
attacco attacchi attacca attacchiamo attaccate attaccano 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
capo capi capa capiamo capate capano 
piaccio piaci piace piaciamo piacete piaciono 
colmeggio colmeggi colmeggia colmeggiamo colmeggiate colmeggiano 
cattivo cattivi cattiva cattiviamo cattivate cattivano 
sono sei è siamo siete sono 
cimo cimi cima cimiamo cimate cimano 
sono sei è siamo siete sono 
arrampico arrampichi arrampica arrampichiamo arrampicate arrampicano 
como comi come comiamo comete comono 
ruspo ruspi ruspa ruspiamo ruspate ruspano 
sono sei è siamo siete sono 
stesso stessi stesse stessiamo stessete stessono 
amico amichi amica amichiamo amicate amicano 
sono sei è siamo siete sono 
vengo vieni viene veniamo venite vengono 
noio noi noia noiamo noiate noiano 
spesso spessi spessa spessiamo spessate spessano 
sto stai sta stiamo state stanno 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
interesso interessi interessa interessiamo interessate interessano 
divago divaghi divaga divaghiamo divagate divagano 
capo capi capa capiamo capate capano 
sono sei è siamo siete sono 
importo importi importa importiamo importate importano 
soldo soldi solda soldiamo soldate soldano 
dico dici dice diciamo dicete dicono 
sono sei è siamo siete sono 
terzo terzi terza terziamo terzate terzano 
sto stai sta stiamo state stanno 
salgo sali sale saliamo salite salgono 
colpo colpi colpa colpiamo colpate colpano 
sono sei è siamo siete sono 
decido decidi decide decidiamo decidete decidono 
tonneggio tonneggi tonneggia tonneggiamo tonneggiate tonneggiano 
indietro indietri indietra indietriamo indietrate indietrano 
sono sei è siamo siete sono 
ritrovo ritrovi ritrova ritroviamo ritrovate ritrovano 
quarto quarti quarta quartiamo quartate quartano 
parto parti parte partiamo partite partono 
supero superi supera superiamo superate superano 
subisco subisci subisce subiamo subite subiscono 
sorpasso sorpassi sorpassa sorpassiamo sorpassate sorpassano 
sono sei è siamo siete sono 
dò dai da diamo date danno 
salgo sali sale saliamo salite salgono 
como comi come comiamo comete comono 
coperto coperti coperta copertiamo copertate copertano 
faccio fai fa faciamo facete facciono 
vado vai va andiamo andate vanno 
sono sei è siamo siete sono 
grugnisco grugnisci grugnisce grugniamo grugnite grugniscono 
volto volti volta voltiamo voltate voltano 
sono sei è siamo siete sono 
vado vai va andiamo andate vanno 
vado vai va andiamo andate vanno 
batto batti batte battiamo battete battono 
posso puoi può possiamo potete possono 
sono sei è siamo siete sono 
volto volti volta voltiamo voltate voltano 
comincio cominci comincia cominciamo cominciate cominciano 
scavigliare scavitolare scavizzolare scazzare scazzeggiare scazzottare 
agito agiti agita agitiamo agitate agitano 
urlo urli urla urliamo urlate urlano 
como comi come comiamo comete comono 
scivolo scivoli scivola scivoliamo scivolate scivolano 
grano grani grana graniamo granate granano 
finisco finisci finisce finiamo finite finiscono 
paio pari pare paiamo parete paiono 
veggo vedi vede vediamo vedete vedono 
sto stai sta stiamo state stanno 
sopro sopri sopra sopriamo soprate soprano 
cerchio cerchi cerchia cerchiamo cerchiate cerchiano 
massaggio massaggi massaggia massaggiamo massaggiate massaggiano 
tengo tieni tiene teniamo tenete tengono 
occo occhi occa occhiamo occate occano 
lucido lucidi lucida lucidiamo lucidate lucidano 
veggo vedi vede vediamo vedete vedono 
storco storci storce storciamo storcete storcono 
bocco bocchi bocca bocchiamo boccate boccano 
sono sei è siamo siete sono 
como comi come comiamo comete comono 
tacco tacchi tacca tacchiamo taccate taccano 
faccio fai fa faciamo facete facciono 
pentire penuriare penzigliare penzolare pepare peptizzare 
detto detti detta dettiamo dettate dettano 
velgo velli velle velliamo vellete velgono 
sono sei è siamo siete sono 
seggo siedi siede sediamo sedete seggono 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
bocco bocchi bocca bocchiamo boccate boccano 
strizzo strizzi strizza strizziamo strizzate strizzano 
occo occhi occa occhiamo occate occano 
dondolo dondoli dondola dondoliamo dondolate dondolano 
testo testi testa testiamo testate testano 
sono sei è siamo siete sono 
frego freghi frega freghiamo fregate fregano 
mollo molli molla molliamo mollate mollano 
terzo terzi terza terziamo terzate terzano 
volto volti volta voltiamo voltate voltano 
dò dai da diamo date danno 
sono sei è siamo siete sono 
prendo prendi prende prendiamo prendete prendono 
mammo mammi mamma mammiamo mammate mammano 
stampello stampelli stampella stampelliamo stampellate stampellano 
attento attenti attenta attentiamo attentate attentano 
