1 | Zero Two | default | T5 / 67 / 84 / 93
2 | Zero Two | default | T5 / 36 / 89 / 98
3 | Zero Two | default | T5 / 98 / 41 / 17
4 | Zero Two | hexagon | T5 / 41 / 24 / 83
5 | Strelizia | default | T5 / 9 / 43 / 95
6 | Strelizia | default | T5 / 1 / 63 / 81
7 | Miku | hexagon | T4 / 89 / 86 / 84
8 | Delphinium | cosmic | T4 / 98 / 71 / 90
9 | DrFRANXX | default | T4 / 61 / 90 / 73
10 | Argentea | default | T4 / 93 / 98 / 13
11 | Hiro | default | T4 / 72 / 52 / 77
12 | Goro | default | T4 / 65 / 23 / 95
13 | Goro | default | T4 / 65 / 34 / 73
14 | Delphinium | hexagon | T4 / 3 / 93 / 56
15 | Goro | hexagon | T4 / 15 / 33 / 97
16 | Hiro | default | T4 / 56 / 2 / 68
17 | Delphinium | hexagon | T4 / 58 / 46 / 21
18 | DrFRANXX | cosmic | T4 / 15 / 97 / 10
19 | Hiro | default | T4 / 18 / 16 / 13
20 | Chlorophytum | hexagon | T3 / 94 / 62 / 88
21 | 081 | default | T3 / 63 / 94 / 84
22 | Zorome | default | T3 / 53 / 88 / 91
23 | Genista | hexagon | T3 / 96 / 61 / 49
24 | Genista | default | T3 / 91 / 86 / 26
25 | Ichigo | default | T3 / 59 / 75 / 69
26 | Chlorophytum | pulse | T3 / 79 / 62 / 58
27 | Zorome | pulse | T3 / 75 / 54 / 63
28 | Hachi | default | T3 / 90 / 8 / 80
29 | Ichigo | default | T3 / 18 / 71 / 88
30 | Genista | default | T3 / 77 / 77 / 18
31 | Genista | hexagon | T3 / 73 / 95 / 4
32 | Chlorophytum | default | T3 / 38 / 86 / 39
33 | Hachi | default | T3 / 40 / 74 / 40
34 | Ichigo | pulse | T3 / 17 / 94 / 40
35 | Chlorophytum | default | T3 / 3 / 60 / 81
36 | Ichigo | hexagon | T3 / 49 / 3 / 86
37 | 090 | default | T3 / 12 / 42 / 82
38 | Zorome | hexagon | T3 / 32 / 74 / 30
39 | Genista | default | T3 / 44 / 55 / 27
40 | 090 | default | T3 / 11 / 21 / 90
41 | Zorome | hexagon | T3 / 14 / 82 / 22
42 | Zorome | default | T3 / 3 / 95 / 18
43 | 090 | default | T3 / 53 / 56 / 4
44 | 090 | hexagon | T3 / 38 / 38 / 35
45 | Genista | default | T3 / 25 / 48 / 33
46 | 081 | default | T3 / 11 / 35 / 59
47 | 081 | default | T3 / 58 / 18 / 24
48 | 081 | default | T3 / 13 / 56 / 23
49 | 081 | default | T3 / 17 / 15 / 53
50 | Genista | default | T3 / 24 / 41 / 2
51 | Zorome | default | T3 / 36 / 1 / 4
52 | 9'epsilon | default | T2 / 97 / 95 / 86
53 | 9'gamma | default | T2 / 88 / 58 / 97
54 | Nana | hexagon | T2 / 86 / 81 / 74
55 | Nana | default | T2 / 61 / 81 / 97
56 | 9'alpha | default | T2 / 91 / 75 / 70
57 | 9'beta | default | T2 / 97 / 75 / 63
58 | 9'gamma | pulse | T2 / 89 / 71 / 73
59 | 9'delta | default | T2 / 55 / 84 / 88
60 | 9'alpha | pulse | T2 / 99 / 37 / 75
61 | Mitsuru | hexagon | T2 / 62 / 65 / 77
62 | 9'alpha | hexagon | T2 / 43 / 89 / 69
63 | Mitsuru | default | T2 / 47 / 97 / 52
64 | 9'beta | default | T2 / 87 / 36 / 69
65 | 9'gamma | hexagon | T2 / 76 / 16 / 95
66 | 9s FranXX | default | T2 / 18 / 95 / 70
67 | 9'alpha | default | T2 / 35 / 82 / 66
68 | 9'epsilon | default | T2 / 64 / 22 / 94
69 | 9'beta | default | T2 / 72 / 14 / 93
70 | 9'alpha | default | T2 / 63 / 93 / 20
71 | 9'delta | default | T2 / 64 / 8 / 95
